,Bowlers,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage
139,JA Turner,0.44280187573270813,0.013256350136772177,0.07853497459945291
140,GS Drissell,0.7908762755102041,0.0,0.04083673469387755
141,AM Vaughan,0.6574514749424278,0.027843403882004604,0.06897927404320647
142,R Lord,0.4731782334384858,0.07173718454258676,0.04833063880126183
143,F Ahmed,0.6361833284756631,0.01107572136403381,0.02690271058000583
144,H Hameed,,,
145,RJ Burns,,,
146,LV van Beek,0.5633259705488621,0.10830254350736278,0.06693587684069612
147,GS Virdi,0.7204225442645941,0.015019867936656344,0.07077239525506925
148,JM Vince,,,
149,CK Holder,0.7666645274212369,0.15226079346557758,0.036747374562427076
150,A Phillip,0.42153780216012343,0.10404165952340133,0.09341848105606035
151,SA Al Hasan,0.7850474656560871,0.04484414969208906,0.059753860729512075
152,TK Curran,0.6940942538238941,0.13311492352211657,0.08801860272840017
153,BG Randell,0.2833504449007529,0.058182751540041065,0.030180698151950718
154,JE Home,0.49708187134502924,0.21927777777777777,0.023380116959064327
155,JA Duffy,0.3379545578231293,0.09926040816326531,0.019050068027210883
156,J Minto,0.5442210884353742,0.22795238095238093,0.0918639455782313
157,Y Majid,0.8890895645028759,0.013110928512736236,0.0
