Bowler,Runs,ReleaseY,ReleaseZ,Bowler Type
S Snater,0,0.6260571,1.9864959,RM
JA Porter,0,-0.968878,1.7726975,RM
JA Porter,0,-0.8018051,1.7373563,RM
JA Porter,1,-0.906501,1.7870991,RM
JA Porter,0,0.5143976,1.9012803,RM
S Snater,0,-0.8965925,2.0505278,RM
S Snater,0,-0.9069933,2.0319653,RM
S Snater,4,-0.7796822,1.9005342,RM
S Snater,0,-0.8917938,2.0298591,RM
S Snater,0,0.788999,2.0028172,RM
S Snater,0,0.7670878,2.0337173,RM
JA Porter,0,-0.9548631,1.7811876,RM
JA Porter,0,-0.9999405,1.7425568,RM
JA Porter,0,-0.9419855,1.9818634,RM
JA Porter,0,-0.947642,1.7875218,RM
JA Porter,0,-1.0508023,1.7664833,RM
S Snater,0,0.8589508,2.0504082,RM
S Snater,0,0.8591948,2.0690018,RM
S Snater,0,0.7965207,2.0153362,RM
S Snater,1,0.8736195,2.0372743,RM
S Snater,0,-0.855537,1.9548911,RM
JA Porter,0,0.7713279,1.9851911,RM
JA Porter,0,0.7327856,1.8777674,RM
JA Porter,0,0.7896734,1.9827872,RM
S Snater,4,0.8758751,2.0497384,RM
S Snater,0,0.8547701,2.0250798,RM
S Snater,4,0.7824722,2.0496653,RM
S Snater,0,0.8135794,2.0391464,RM
E Bosch,0,0.8636589,2.0892566,RFM
E Bosch,0,0.8592265,2.0820798,RFM
SR Harmer,0,0.9106078,2.3119862,ROB
SR Harmer,0,0.8479862,2.2371284,ROB
E Bosch,0,-0.7438724,1.8996443,RFM
E Bosch,0,-0.7595974,1.8986799,RFM
E Bosch,0,-0.7257845,1.8263383,RFM
E Bosch,1,-0.9453733,1.8502046,RFM
E Bosch,0,0.6221674,2.0219975,RFM
SR Harmer,0,0.9024114,2.312055,ROB
SR Harmer,0,0.8310756,2.286533,ROB
E Bosch,0,-0.9106312,2.0890792,RFM
E Bosch,1,-0.6809718,2.0585686,RFM
E Bosch,0,1.0351892,2.1329596,RFM
E Bosch,0,0.7914512,2.0839638,RFM
SR Harmer,0,0.9345931,2.4264614,ROB
SR Harmer,0,0.9031089,2.3132091,ROB
E Bosch,1,-1.003107,2.0691182,RFM
E Bosch,0,0.8141271,2.1713336,RFM
E Bosch,0,0.8622637,2.1165516,RFM
E Bosch,0,-0.7419725,2.1770456,RFM
E Bosch,0,-0.8866669,2.1026601,RFM
SR Harmer,0,0.890905,2.3409922,ROB
SR Harmer,1,0.8646372,2.3100816,ROB
SR Harmer,0,0.878381,2.3545808,ROB
MJJ Critchley,0,-0.4765313,2.2086962,RLB
MJJ Critchley,4,-0.5036897,2.2627102,RLB
MJJ Critchley,0,-0.5858511,2.3040012,RLB
MJJ Critchley,1,-0.4482361,2.2497358,RLB
MJJ Critchley,0,1.3149089,2.1860613,RLB
SR Harmer,4,0.8391201,2.2791863,ROB
MJJ Critchley,0,1.466408,2.1933503,RLB
MJJ Critchley,1,1.4402389,2.2049836,RLB
MJJ Critchley,1,1.3579989,2.1572072,RLB
MJJ Critchley,4,-0.5882826,2.2038821,RLB
SR Harmer,0,0.7546397,2.2806015,ROB
SR Harmer,0,0.8460071,2.2868713,ROB
SR Harmer,0,1.0582528,2.3079971,ROB
SR Harmer,0,1.0743781,2.2795941,ROB
MJJ Critchley,1,1.3868882,2.1830639,RLB
MJJ Critchley,0,-0.6140677,2.2443321,RLB
MJJ Critchley,1,-0.5956949,2.2672963,RLB
SR Harmer,2,0.9531728,2.3024843,ROB
MJJ Critchley,1,1.3232853,2.1946368,RLB
MJJ Critchley,2,-0.5403856,2.2063284,RLB
SR Harmer,0,0.8643984,2.2910476,ROB
SR Harmer,0,0.879475,2.2827518,ROB
SR Harmer,1,0.9458399,2.3363467,ROB
MJJ Critchley,1,1.4162665,2.2084992,RLB
MJJ Critchley,1,-0.7009913,2.2224054,RLB
MJJ Critchley,0,-0.5703235,2.2437933,RLB
MJJ Critchley,0,-0.5163462,2.2976612,RLB
SR Harmer,1,0.9295953,2.3414097,ROB
SR Harmer,0,0.8365125,2.2525817,ROB
SR Harmer,0,0.8608876,2.2933379,ROB
MJJ Critchley,1,-0.5101849,2.2242052,RLB
SR Harmer,0,0.9590957,2.2873479,ROB
SR Harmer,1,1.0627503,2.2704468,ROB
SR Harmer,0,0.9148424,2.332652,ROB
SR Harmer,0,0.9564053,2.3325681,ROB
JA Porter,0,-0.8840566,2.0334107,RM
JA Porter,0,-0.8616171,1.947056,RM
JA Porter,0,-0.9553879,1.9634013,RM
JA Porter,0,-0.8973005,1.8912889,RM
JA Porter,0,-0.9229092,1.9580573,RM
JA Porter,0,-0.8795001,1.9561875,RM
SR Harmer,0,0.9518865,2.2702728,ROB
SR Harmer,0,0.9566924,2.3006948,ROB
JA Porter,0,-0.8659003,1.8514156,RM
JA Porter,0,-1.0149011,1.9854095,RM
JA Porter,1,-0.9131757,1.9299504,RM
JA Porter,0,0.8259709,1.9957387,RM
JA Porter,0,0.767152,1.96107,RM
SR Harmer,0,0.9130992,2.3001226,ROB
SR Harmer,0,0.8279288,2.2312923,ROB
SR Harmer,0,0.9033267,2.2416925,ROB
JA Porter,0,-0.9047084,1.963361,RM
JA Porter,0,-0.9291542,1.9292153,RM
SR Harmer,0,0.8519117,2.2663866,ROB
SR Harmer,0,0.8784025,2.3331105,ROB
SR Harmer,1,0.864223,2.2790204,ROB
JA Porter,0,-0.9496723,2.0030357,RM
JA Porter,0,-0.8171544,1.902457,RM
JA Porter,0,-0.9868774,1.9609308,RM
SR Harmer,1,0.8017209,2.215111,ROB
JA Porter,0,-0.8780577,1.919109,RM
JA Porter,0,-0.9457435,1.9764879,RM
JA Porter,1,-0.973831,1.9030003,RM
SR Harmer,1,-0.6358796,2.1631493,ROB
SR Harmer,1,0.8902296,2.2403637,ROB
SR Harmer,0,0.9801596,2.3045369,ROB
SR Harmer,0,0.9655238,2.3035657,ROB
S Snater,0,-0.8305008,2.0718693,RM
S Snater,1,-0.8298524,2.0499099,RM
S Snater,0,-0.9175678,1.9507413,RM
S Snater,0,-0.9153215,2.004094,RM
S Snater,0,-0.8794078,1.9909546,RM
S Snater,4,-0.7609307,2.0421737,RM
S Snater,4,-0.7682286,2.0962812,RM
S Snater,4,-0.8481312,2.0609577,RM
MJJ Critchley,6,-0.5596609,2.1926306,RLB
MJJ Critchley,1,-0.6398695,2.2020243,RLB
MJ Potts,0,0.6812543,2.0507366,RM
MJ Potts,4,0.7186937,2.1271314,RM
MJ Potts,0,0.6708843,2.0580164,RM
MJ Potts,0,0.6300792,2.0665381,RM
MJ Potts,0,0.6335851,2.0693136,RM
MJ Potts,0,0.6135713,1.9775976,RM
MJ Potts,0,0.6908446,2.0172039,RM
MJ Potts,0,0.6827952,2.0261581,RM
MJ Potts,0,0.7363145,2.0410234,RM
MJ Potts,0,0.7850457,2.0812794,RM
MJ Potts,0,0.8645995,2.0727986,RM
MJ Potts,1,0.6837263,2.0032544,RM
MJ Potts,0,-0.68216,2.1102329,RM
MJ Potts,0,-0.6922202,2.0914524,RM
MJ Potts,0,-0.632864,1.9262828,RM
MJ Potts,0,-0.5869658,1.9553571,RM
MJ Potts,0,-0.6987405,2.1201873,RM
MJ Potts,0,-0.6056221,2.0161962,RM
MJ Potts,0,-0.5992222,1.8214514,RM
MJ Potts,0,-0.633024,1.9686989,RM
