Bowler,Runs,Batting Hand,ReleaseY,ReleaseZ,PitchX,PitchY,PastY,PastZ
CF Parkinson,0,LHB,0.7986549,2.1086704,4.6660579,-0.0245205,-0.49082,0.6029333
CF Parkinson,4,LHB,0.8477334,2.0633243,3.9054384,-0.0124873,-0.4524354,0.4317644
BA Raine,0,LHB,0.891355,1.9656362,7.5220206,0.5935907,0.4447461,0.8315755
BA Raine,0,LHB,0.9220972,2.0140883,8.2933603,0.6829599,0.5256597,0.8415569
BA Raine,0,RHB,-0.5710754,1.9794785,8.7440099,-0.2206638,0.116266,0.8866391
CF Parkinson,0,RHB,-0.5436611,1.9132634,5.1651591,-0.2435268,-0.3003268,0.6996756
CF Parkinson,4,RHB,-0.5278657,2.012003,4.5266173,-0.1247392,-0.3998087,0.6500784
CF Parkinson,0,RHB,-0.6584028,2.124203,4.8310708,-0.2184252,-0.5550347,0.5114946
CF Parkinson,0,RHB,-0.6327216,2.1149008,3.8508768,-0.3479555,-0.3017788,0.4451002
CF Parkinson,0,RHB,-0.6452913,2.1062171,3.9447048,-0.0724641,-0.0871909,0.6652029
CF Parkinson,0,RHB,-0.6298797,2.1369062,4.1907256,-0.2357032,-0.5157865,0.513401
CF Parkinson,0,RHB,-0.6285343,2.1188166,4.6672488,0.0146846,0.0843406,0.8982786
CF Parkinson,0,RHB,-0.6275072,2.0880992,6.1778502,-0.332482,-0.4105729,0.7952761
CF Parkinson,0,RHB,-0.5382095,2.1223959,4.8249048,-0.1430981,-0.1424253,0.5005127
CF Parkinson,0,RHB,-0.6149864,2.0602774,5.7960238,-0.3107643,-0.5356257,0.8424672
CF Parkinson,0,RHB,-0.6384648,2.1053386,4.3389121,-0.1499872,-0.4118156,0.6439285
CF Parkinson,0,RHB,-0.6441158,2.0576815,4.6788771,-0.1393804,-0.2488632,0.667852
CF Parkinson,4,RHB,-0.6658645,2.1486625,5.130109,-0.1929069,-0.1468743,0.5714094
CF Parkinson,0,RHB,-0.6483563,2.1276001,4.2591454,-0.0989644,-0.0744058,0.3676388
CF Parkinson,1,RHB,-0.7327423,2.2300718,3.9853709,-0.2430361,-0.2648354,0.6772974
CF Parkinson,0,RHB,-0.6368512,2.097908,4.8436416,-0.0926294,-0.155507,0.6747384
CF Parkinson,0,RHB,-0.7925121,2.0702216,5.2564756,-0.2003024,-0.2442305,0.6495645
CF Parkinson,1,RHB,-0.6530639,2.0729141,7.1286005,-0.1797711,-0.202539,0.856369
CF Parkinson,0,RHB,-0.7141452,2.0615156,4.1319801,-0.0687741,-0.1639594,0.3302078
CF Parkinson,0,RHB,-0.83323,2.0857928,4.6763674,-0.1353027,-0.3016202,0.8916945
CF Parkinson,1,RHB,-0.6417969,2.110196,4.8142822,-0.1766691,-0.3227797,0.8559887
CF Parkinson,0,RHB,-0.6241257,2.1391756,5.4999342,0.0719743,0.0163928,0.9392388
CF Parkinson,1,RHB,-0.6096547,2.0643308,4.1744392,-0.2495302,-0.3088825,0.4227045
CF Parkinson,0,RHB,-0.6824571,2.0753184,4.1860107,0.0722516,0.0856496,0.7343815
CF Parkinson,0,RHB,-0.6809414,2.0647806,5.1507177,-0.1482133,-0.204687,0.4831883
CF Parkinson,1,LHB,0.7742386,2.045679,7.052323,0.521179,0.0265724,0.6614291
CN Ackermann,0,LHB,0.9366545,2.1828464,3.8269104,0.1113455,0.0258558,0.4909478
CN Ackermann,0,RHB,-0.6115589,2.1445496,5.8414526,-0.5287207,-0.2962306,0.9200109
CN Ackermann,0,RHB,-0.627012,2.1618166,5.3416445,-0.2725526,0.0139269,0.7391001
CN Ackermann,0,RHB,-0.6215874,2.1546437,5.6998971,-0.4732837,-0.1847575,0.7596393
CN Ackermann,6,RHB,-0.6856004,2.1568476,4.8888451,-0.46801,-0.3210076,0.5594578
CN Ackermann,0,RHB,-0.6380732,2.2008578,5.5496718,-0.3972452,-0.2232288,0.6692338
PM Siddle,0,LHB,0.7738765,2.0098919,10.2573539,0.5664629,0.1993853,1.1484238
PM Siddle,0,LHB,0.7453661,2.0165896,8.7851711,0.3354251,0.0039514,1.006325
PM Siddle,0,LHB,0.7800186,1.9776667,8.2033734,0.4311618,0.236754,0.9207059
PM Siddle,0,LHB,0.7956801,2.0109531,7.872098,0.6991509,0.639708,0.8844719
PM Siddle,1,LHB,0.7564165,1.9867304,8.5325356,0.3830416,0.0414489,0.8765521
PM Siddle,0,LHB,0.7755071,1.9928228,8.3925843,0.4578474,0.1404969,1.0374761
PM Siddle,0,LHB,0.8107951,2.0725296,6.8730621,0.5894913,0.4407108,0.8444346
PM Siddle,1,LHB,0.7471383,2.080342,7.0367221,0.5259107,0.4357535,0.7885536
PM Siddle,0,RHB,-0.6251451,2.0287539,6.4609085,-0.1011179,0.3015066,0.6316665
PM Siddle,3,LHB,0.9821122,2.063839,6.2663728,0.6067842,0.4884294,0.7053394
PM Siddle,0,RHB,-0.5944048,2.0463198,7.0730539,-0.3591181,-0.2646217,0.8104843
PM Siddle,0,LHB,0.838508,2.0265607,7.857525,0.638756,0.6276446,0.8526337
PM Siddle,0,LHB,0.8574609,2.0126138,7.1445185,0.4774942,0.2188322,0.7656172
PM Siddle,0,LHB,0.7356228,1.9480148,8.7946829,0.5082584,0.3152089,0.7948665
PM Siddle,0,RHB,-0.6830709,2.0410774,7.2816807,-0.505921,-0.2941188,0.8997234
PM Siddle,0,RHB,-0.617317,2.0485554,5.5769942,-0.1828339,0.0829943,0.7568326
CN Ackermann,0,RHB,-0.477165,2.1142303,8.1524538,-0.5188854,-0.4294644,0.7124323
CN Ackermann,1,RHB,-0.5565476,2.1579569,6.1738179,-0.5131353,-0.3018063,0.799546
CN Ackermann,0,LHB,0.9396831,2.1214572,6.6513229,0.12939,-0.0351941,0.6996437
CN Ackermann,0,LHB,0.9106699,2.0786329,6.3187583,0.3384584,0.3059561,0.6615451
CN Ackermann,1,LHB,0.9350552,2.1442736,6.3404675,0.1243512,0.0776474,0.7434908
